"","Dim.1","Dim.2","Dim.3","Dim.4"
"benev",0.85,-0.28,0.07,0.12
"chom",-0.65,-0.08,0.08,0.65
"depedu",0.57,0.27,-0.63,0.21
"depsoc",0.72,0.07,0.36,0.51
"devel",0.83,0.29,0.42,-0.07
"pib",0.89,0.2,0.31,-0.17
"pvap",-0.68,0.57,0.25,-0.26
"pvav",0.26,0.82,-0.35,0.14
"trvpv",-0.74,0.35,0.36,0.22
